objectId,label
13964,2 A PLUS COMPANY LIMITED
13963,"2 FELLOWS NETWORK & DESIGN CO., LTD."
13965,"24 SOLUTION GROUP (THAILAND) CO., LTD"
13966,"27 ENGINEERING CO., LTD."
13967,28 SOLUTION COMPANY LIMITED
13968,3 BS COMPANY LIMITED
13969,3 LN COMPANY LIMITED
13970,3 PLUS SOFT COMPANY LIMITED
13971,"33 REMITTANCE CO., LTD."
13972,3D TV TECH COMPANY LIMITED
26971,3phon
13973,724 MARKET COMPANY LIMITED
13974,88(THAILAND) PUBLIC COMPANY LIMITED
13975,888 TECHNOLOGY COMPANY LIMITED
13976,"98 ALPHA EMBODIMEN CO., LTD."
13977,"989 AUTO INNO TECH CO., LTD."
13978,A & P MANAGEMENT GROUP COMPANY LIMITED
13979,"A P INSURANCE BROKER CO.,LTD."
13980,A&P SIAM NEO GROUP PUBLIC COMPANY LIMITED
13981,A.G.UNIVERSAL COMPANY LIMITED
13982,"A2 TECHNOLOGIES CO.,LTD."
13983,AA YAOWARAT GOLDSMITH COMPANY LIMITED
26824,"AB Logistics (Thailand) Co., Ltd."
13984,"ABBOT TECHNOLOGY CO., LTD."
13985,ABC TECHNOLOGY COMPANY LIMITED
18134,ABSOLUTE CLEAN ENERGY PUBLIC COMPANY LIMITED
13986,"ACC CONSULTING CO., LTD."
13987,"ACIS PROFESSIONAL CENTER CO.,LTD."
13988,"ACTION TOGETHER SOLUTIONS CO., LTD."
13989,"ACTUALIZ CO., LTD."
13990,ADDLIFE COMPANY LIMITED
13991,ADEO SOLUTION COMPANY LIMITED
13992,ADEPTUS THAI COMPANY LIMITED
13993,ADISORN CONSTRUCTION COMPANY LIMITED
13994,"ADK THAI CO., LTD."
13995,ADS HOTEL SOFTWARE COMPANY LIMITED
13996,ADVANCE FIBER COMPANY LIMITED
13997,"ADVANCE INTEGRATION CO.,LTD."
13998,ADVANCE INTERFREIGHT SERVICE COMPANY LIMITED
13999,ADVANCE NETWORK TECHNOLOGY & SERVICES COMPANY LIMITED
14000,"ADVANCE THERMO TECHNOLOGY CO., LTD."
14001,ADVANCED RESEARCH GROUP COMPANY LIMITED
14002,AERO SOLAR AND AUTOMATION COMPANY LIMITED
14003,AERONAUTICAL RADIO OF THAILAND LTD.
14004,AEROWORKS (ASIA) COMPANY LIMITED
14005,AFTER YOU PUBLIC COMPANY LIMITED
14006,"AGENCY GENIUS CO.,LTD."
14007,"AGRO (THAILAND) CO., LTD."
14008,"AGY HERO CO., LTD."
14009,"AI DECORATION CO.,LTD."
26840,AIM PACK (THAILAND) COMPANY LIMITED
14010,AIRA FACTORING PUBLIC COMPANY LIMITED
14011,AIRA PROPERTY PUBLIC COMPANY LIMITED
14012,AKSORN CHAROEN TAT A.C.T. (25) COMPANY LIMITED
14013,"ALADDINSTAR CO., LTD."
14014,ALADIN EXPRESS (THAILAND) COMPANY LIMITED
14015,ALBATROSS COMPANY LIMITED
14016,ALCHEMIST COMPANY LIMITED
14017,"ALL ABOUT YOU CO., LTD."
24694,ALL MICROTECH (THAILAND) COMPANY LIMITED
14018,ALL SERVICE SOLUTIONS COMPANY LIMITED
14019,ALL-IN-ONE SOFTWARE COMPANY LIMITED
14020,ALMENDRA (THAILAND) COMPANY LIMITED
14021,ALPHABIZ SOLUTIONS COMPANY LIMITED
26822,"always pioneering innovation co.,ltd"
14022,"ALYSSA GLOBAL CO., LTD."
14023,AMANAH LEASING PUBLIC COMPANY LIMITED
14024,AMATA TEAM COMPANY LIMITED
14025,AMBER SMART INSURANCE BROKER COMPANY LIMITED
14026,AMCHASE PHUKET HP (THAILAND) COMPANY LIMITED
14027,AMG INSURE BROKER COMPANY LIMITED
14028,AMITY INSURANCE BROKER COMPANY LIMITED
14029,"AMPLE ENERGY CO., LTD."
26819,"Amway (Thailand) Ltd,"
14030,ANANTA NETWORK SOLUTIONS COMPANY LIMITED
14031,ANJI - NYK LOGISTICS (THAILAND) COMPANY LIMITED
14032,ANYPAY COMPANY LIMITED
14033,AOSOFT COMPANY LIMITED
14034,AOT GROUND AVIATION SERVICES COMPANY LIMITED
14035,"AP AVIATION CO., LTD."
14036,API ADVANCE INTEGRATE 2019 COMPANY LIMITED
14037,APICO (KHORAT) COMPANY LIMITED
14038,APP 21 COMPANY LIMITED
14039,APPLE FILM COMPANY LIMITED
14040,APPLICAD PUBLIC COMPANY LIMITED
14041,"APPLICATION ON NET CO.,LTD."
24540,AppSetter Company Limited
14042,"ARAK ANIMAL HEALTHCARE CO., LTD."
14043,"ARCHITECTS 49 CO., LTD."
14044,ARGERZY COMPANY LIMITED
14045,ARIEL FREIGHT COMPANY LIMITED
14046,"ARMADILLO TECH CO., LTD."
14063,Armed Forces Development Command Saving and Credit Co-Opertative Limited
14047,ARROW SYNDICATE PUBLIC COMPANY LIMITED
26879,ARUN ASSET MANAGEMENT COMPANY LIMITED
14048,ASIA BIOMASS PUBLIC COMPANY LIMITED
14049,ASIA FOOD SOLUTION COMPANY LIMITED
14050,ASIA INTERNATIONAL HOSPITAL COMPANY LIMITED
14051,ASITAKIJ COMPANY LIMITED
14052,ASKME SOLUTION & CONSULTANL COMPANY LIMITED
14053,ASKME SOLUTIONS COMPANY LIMITED
14054,ASSETWISE PUBLIC COMPANY LIMITED
14055,ATT SOLUTION COMPANY LIMITED
14056,"ATT SOLUTION CONSULTANT CO., LTD."
14057,AURORA DESIGN PUBLIC COMPANY LIMITED
14058,AUTO MATION MASTER COMPANY LIMITED
14059,AUTO MOTION WORKS COMPANY LIMITED
14060,"AUTO VATIVE CO., LTD."
14061,"AVISION CO., LTD."
14062,AWARE CORPORATION LIMITED
14064,B.B.HOLDING COMPANY LIMITED
14065,B.GRIMM CARRIER [THAILAND] COMPANY LIMITED
14066,B.T. ENGINEERING COMPANY LIMITED
14067,BAAN SARIN COMPANY LIMITED
14068,BAFS INNOVATION DEVELOPMENT COMPANY LIMITED
14069,BAFS PIPELINE TRANSPORTATION LIMITED
14070,BANDEE ARCHITECT DESIGN AND CONSTRUCTION COMPANY LIMITED
14072,"BANG PA-IN CONCRETE PILE CO., LTD."
14071,BANG SUE CHIA MENG RICE MILL COMPANY LIMITED
14073,BANGKOK AIRWAYS PUBLIC COMPANY LIMITED
14074,BANGKOK AVIATION FUEL SERVICES PUBLIC COMPANY LIMITED
